Miska z IKEI - większa, ciemnoniebieska = 388-394g

sól 22 gramów


"2019-05-18 17:04" : "Zakwas wyjęty z lodówki"
"2019-05-18 19:04" : "Dokarmienie"
"2019-05-18 19:22" : "Przeniesienie ciasta do brytfanny"
"2019-05-19 04:20" : "Zaczynamy rozgzrzewanie pieca gazowego. na 5" 
"2019-05-19 04:37" : "Brytfanna do piecyka. na 4"
"2019-05-19 04:44" : "na 3."
"2019-05-19 05:00" : "na 2."
"2019-05-19 05:01" : "przesunięcie brytfanny bliżej drzwi"
"2019-05-19 05:02" : "na 1"
"2019-05-19 05:17" : "wyciągnięcie i popukanie w spód."
"2019-05-19 05:18" : "wyłączenie pieca. zostawienie brytfanny w piecu. drzwiczki otwarte"
"2019-05-19 07:17" : "Degustacja"
